date_time,activity,holiday,nop,members,totalsales
2021/10/25,0,0,679566,623,58399430
2021/10/26,0,0,626590,600,60816320
2021/10/27,0,0,584176,579,57255892
2021/10/28,2101,0,541709,539,57138680
2021/10/29,0,0,480011,543,57309519
2021/10/30,0,0,436494,540,55562403
2021/10/31,0,0,397049,544,57004686
2021/11/1,0,0,362624,565,56002406
2021/11/2,0,0,337902,551,51507618
2021/11/3,0,0,318623,543,51345006
2021/11/4,0,0,268919,492,43274662
